Vivado Simulator 2018.3
Time resolution is 1 ps
At time                  198, a = 1100001101010000, b = 1011111101101000, cin = 0, s = 1000001010111000, cout = 1
At time                  200, a = 1100001101010000, b = 1100001101010000, cin = 0, s = 1000011010100000, cout = 1
At time                  202, a = 1100011100111000, b = 1100001101010000, cin = 0, s = 1000101010001000, cout = 1
At time                  204, a = 1100011100111000, b = 1100011100111000, cin = 0, s = 1000111001110000, cout = 1
At time                  206, a = 1100101100100000, b = 1100011100111000, cin = 0, s = 1001001001011000, cout = 1
At time                  208, a = 1100101100100000, b = 1100101100100000, cin = 0, s = 1001011001000000, cout = 1
At time                  210, a = 1100111100001000, b = 1100101100100000, cin = 0, s = 1001101000101000, cout = 1
At time                  212, a = 1100111100001000, b = 1100111100001000, cin = 0, s = 1001111000010000, cout = 1
At time                  214, a = 1101001011110000, b = 1100111100001000, cin = 0, s = 1010000111111000, cout = 1
At time                  216, a = 1101001011110000, b = 1101001011110000, cin = 0, s = 1010010111100000, cout = 1
At time                  218, a = 1101011011011000, b = 1101001011110000, cin = 0, s = 1010100111001000, cout = 1
At time                  220, a = 1101011011011000, b = 1101011011011000, cin = 0, s = 1010110110110000, cout = 1
At time                  222, a = 1101101011000000, b = 1101011011011000, cin = 0, s = 1011000110011000, cout = 1
At time                  224, a = 1101101011000000, b = 1101101011000000, cin = 0, s = 1011010110000000, cout = 1
At time                  226, a = 1101111010101000, b = 1101101011000000, cin = 0, s = 1011100101101000, cout = 1
At time                  228, a = 1101111010101000, b = 1101111010101000, cin = 0, s = 1011110101010000, cout = 1
At time                  230, a = 1110001010010000, b = 1101111010101000, cin = 0, s = 1100000100111000, cout = 1
At time                  232, a = 1110001010010000, b = 1110001010010000, cin = 0, s = 1100010100100000, cout = 1
At time                  234, a = 1110011001111000, b = 1110001010010000, cin = 0, s = 1100100100001000, cout = 1
At time                  236, a = 1110011001111000, b = 1110011001111000, cin = 0, s = 1100110011110000, cout = 1
At time                  238, a = 1110101001100000, b = 1110011001111000, cin = 0, s = 1101000011011000, cout = 1
At time                  240, a = 1110101001100000, b = 1110101001100000, cin = 0, s = 1101010011000000, cout = 1
At time                  242, a = 1110111001001000, b = 1110101001100000, cin = 0, s = 1101100010101000, cout = 1
